0,1,2,3,4
SC026Mesa Loop,Creator Tools,Pitch rating = 79.1,Waitlist / mentor hours,Panel archived exact pitch scores without rounding to whole points.
SC027Zot Loop,Mobility,79.1 score,Waitlist / mentor hours,The export kept the committee's original note style and award labels.
SC028Bren Loop,Campus Commerce,panel avg 84.8,Waitlist / mentor hours,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.
SC029Petr Loop,Creator Tools,83.8 points,Waitlist / mentor hours,Teams at or above 85 automatically received overnight server credits.
SC030Ring Loop,Mobility,Score: 77.3 pts,Waitlist / mentor hours,Panel archived exact pitch scores without rounding to whole points.
SC031Blue Loop,Campus Commerce,75.1 / 100,Waitlist / mentor hours,The export kept the committee's original note style and award labels.
SC032Gold Loop,Creator Tools,Pitch rating = 87.4,Awarded: 8 GPU nights,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.
SC033Arc Loop,Mobility,94.8 score,Awarded: 8 GPU nights,Teams at or above 85 automatically received overnight server credits.
SC034Bridge Loop,Campus Commerce,panel avg 96.4,Awarded: 8 GPU nights,Panel archived exact pitch scores without rounding to whole points.
SC035Open Loop,Creator Tools,91.2 points,Awarded: 8 GPU nights,The export kept the committee's original note style and award labels.
SC036Signal Loop,Mobility,Score: 76.6 pts,Waitlist / mentor hours,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.
SC037Anteater Market,Campus Commerce,80.1 / 100,Waitlist / mentor hours,Teams at or above 85 automatically received overnight server credits.
SC038Mesa Market,Creator Tools,Pitch rating = 78.7,Waitlist / mentor hours,Panel archived exact pitch scores without rounding to whole points.
SC039Zot Market,Mobility,83.5 score,Waitlist / mentor hours,The export kept the committee's original note style and award labels.
SC040Bren Market,Campus Commerce,panel avg 91.6,Awarded: 8 GPU nights,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.
SC041Petr Market,Creator Tools,82.4 points,Waitlist / mentor hours,Teams at or above 85 automatically received overnight server credits.
SC042Ring Market,Mobility,Score: 72.7 pts,Waitlist / mentor hours,Panel archived exact pitch scores without rounding to whole points.
SC043Blue Market,Campus Commerce,91.8 / 100,Awarded: 8 GPU nights,The export kept the committee's original note style and award labels.
SC044Gold Market,Creator Tools,Pitch rating = 86.2,Awarded: 8 GPU nights,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.
SC045Arc Market,Mobility,84.6 score,Waitlist / mentor hours,Teams at or above 85 automatically received overnight server credits.
SC046Bridge Market,Campus Commerce,panel avg 74.2,Waitlist / mentor hours,Panel archived exact pitch scores without rounding to whole points.
SC047Open Market,Creator Tools,78.2 points,Waitlist / mentor hours,The export kept the committee's original note style and award labels.
SC048Signal Market,Mobility,Score: 84.2 pts,Waitlist / mentor hours,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.
SC049Anteater Match,Campus Commerce,86.9 / 100,Awarded: 8 GPU nights,Teams at or above 85 automatically received overnight server credits.
SC050Mesa Match,Creator Tools,Pitch rating = 83.2,Waitlist / mentor hours,Panel archived exact pitch scores without rounding to whole points.
SC051Zot Match,Mobility,88.7 score,Awarded: 8 GPU nights,The export kept the committee's original note style and award labels.
SC052Bren Match,Campus Commerce,panel avg 77.3,Waitlist / mentor hours,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.
SC053Petr Match,Creator Tools,88.1 points,Awarded: 8 GPU nights,Teams at or above 85 automatically received overnight server credits.
SC054Ring Match,Mobility,Score: 87.3 pts,Awarded: 8 GPU nights,Panel archived exact pitch scores without rounding to whole points.
SC055Blue Match,Campus Commerce,86.0 / 100,Awarded: 8 GPU nights,The export kept the committee's original note style and award labels.
SC056Gold Match,Creator Tools,Pitch rating = 88.3,Awarded: 8 GPU nights,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.
SC057Arc Match,Mobility,82.3 score,Waitlist / mentor hours,Teams at or above 85 automatically received overnight server credits.
SC058Bridge Match,Campus Commerce,panel avg 84.3,Waitlist / mentor hours,Panel archived exact pitch scores without rounding to whole points.
SC059Open Match,Creator Tools,86.5 points,Awarded: 8 GPU nights,The export kept the committee's original note style and award labels.
SC060Signal Match,Mobility,Score: 87.9 pts,Awarded: 8 GPU nights,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.
SC061Anteater Board,Campus Commerce,81.7 / 100,Waitlist / mentor hours,Teams at or above 85 automatically received overnight server credits.
SC062Mesa Board,Creator Tools,Pitch rating = 88.3,Awarded: 8 GPU nights,Panel archived exact pitch scores without rounding to whole points.
SC063Zot Board,Mobility,87.3 score,Awarded: 8 GPU nights,The export kept the committee's original note style and award labels.
SC064Bren Board,Campus Commerce,panel avg 93.2,Awarded: 8 GPU nights,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.
SC065Petr Board,Creator Tools,81.2 points,Waitlist / mentor hours,Teams at or above 85 automatically received overnight server credits.
SC066Ring Board,Mobility,Score: 95.6 pts,Awarded: 8 GPU nights,Panel archived exact pitch scores without rounding to whole points.
SC067Blue Board,Campus Commerce,82.2 / 100,Waitlist / mentor hours,The export kept the committee's original note style and award labels.
SC068Gold Board,Creator Tools,Pitch rating = 92.4,Awarded: 8 GPU nights,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.
SC069Arc Board,Mobility,84.8 score,Waitlist / mentor hours,Teams at or above 85 automatically received overnight server credits.
SC070Bridge Board,Campus Commerce,panel avg 84.7,Waitlist / mentor hours,Panel archived exact pitch scores without rounding to whole points.
SC071Open Board,Creator Tools,80.0 points,Waitlist / mentor hours,The export kept the committee's original note style and award labels.
SC072Signal Board,Mobility,Score: 86.3 pts,Awarded: 8 GPU nights,Below-cutoff teams remained on the mentoring-only waitlist during the quarter.
